Price,Location,Size,Room,Bathroom,Parking
681264,"Mejia, Mejia",132,3,3,1
646000,"Mejia, Mejia",255,2,2,2
425500,"Los Bosques, Socabaya",128,4,2,1
1561000,"Cercado De Yanahuara, Yanahuara",208,4,3,1
956800,"Quinta El Sol, Cerro Colorado",170,4,4,1
1387000,"Selva Alegre, Arequipa",637,4,5,2
1026000,"Cercado, Arequipa",138,3,2,1
2016500,"Cayma, Arequipa",193,3,4,2
3348000,"Cercado, Arequipa",346,12,8,1
2646000,"Cayma, Arequipa",253,4,5,2
2220000,"Yanahuara, Arequipa",250,5,5,
1609500,"Cayma, Arequipa",425,7,5,3
1109200,"San Jeronimo, Arequipa",227,3,3,1
1147000,"Señorial, Cayma",160,3,3,3
2400000,"Los Angeles De Cayma, Cayma",385,4,4,2
3670000,"Mejia, Mejia",1431,3,3,3
1562240,"Cayma, Arequipa",240,3,4,2
4344000,"La Planicie De Challapampa, Cerro Colorado",747,3,3,2
982800,"Uchumayo, Arequipa",90,4,3,
170100,"Alto Selva Alegre, Alto Selva Alegre",45,5,2,
950000,"Yanahuara, Arequipa",153,3,2,1
1367478,"Arequipa, Arequipa",312,5,3,1
3610000,"La Campiña, Cayma",562,4,3,2
1406160,"Cayma, Arequipa",152,3,5,2
3346400,"Cayma, Arequipa",435,6,5,2
663000,"Mejia, Islay",180,3,2,2
1064000,"Los Angeles De Cayma, Cayma",92,4,3,1
2711500,"Selva Alegre, Arequipa",683,4,3,3
2590000,"Cerro Colorado, Arequipa",315,5,5,1
444540,"Camana, Camaná",169,4,2,2
1881000,"Buen Retiro, Arequipa",360,6,3,1
1147000,"Valencia, Yanahuara",220,4,2,1
2627000,"Victor Andres Belaunde, Cerro Colorado",412,5,4,2
1232000,"Cercado De Yanahuara, Yanahuara",281,4,3,2
2261000,"Cayma, Arequipa",243,3,4,2
2071000,"Cayma, Arequipa",193,4,3,2
1293937,"Cayma, Arequipa",220,4,4,2
1053923,"Yanahuara, Arequipa",230,3,2,2
964000,"Villa El Prado, Yanahuara",220,3,4,1
461000,"Uchumayo, Arequipa",400,3,3,2
949000,"Pablo Vi, Arequipa",128,5,2,1
1575000,"Primavera, Yanahuara",300,4,2,2
1541000,"Yanahuara, Arequipa",200,5,5,2
6402864,"Cayma, Arequipa",1324,5,7,6
1087000,"Cayma, Arequipa",370,9,3,3
624960,"Semi Rural Pachacutec, Cerro Colorado",300,6,2,2
1259600,"Cayma, Arequipa",132,4,5,1
3720000,"La Planicie De Challapampa, Cerro Colorado",611,4,5,2
888300,"Jose Luis Bustamante Y Rivero, Arequipa",90,3,3,1
3545000,"Cercado De Cayma, Cayma",489,4,4,3
4070000,"La Planicie De Challapampa, Cerro Colorado",747,4,4,2
1153200,"Cayma, Arequipa",149,4,3,2
3500000,"Cerro Colorado, Arequipa",605,4,5,2
3800000,"Cayma, Arequipa",500,4,3,2
1190400,"Sachaca, Arequipa",258,6,5,1
2090000,"El Palacio, Sachaca",255,4,4,2
1153200,"Bello Campo, Cayma",155,4,3,2
530400,"Cayma, Arequipa",250,7,2,3
1087500,"Cercado, Arequipa",227,3,2,2
976000,"Fecia, Jose Luis Bustamante Y Rivero",275,3,2,4
624960,"Semi Rural Pachacutec, Cerro Colorado",300,6,2,2
1609500,"Cayma, Arequipa",425,7,5,3
988000,"Sachaca, Arequipa",200,3,2,1
3293000,"Cayma, Arequipa",435,5,4,1
444540,"Camana, Camaná",169,4,2,2
1998000,"Los Sauces De Challapampa, Cerro Colorado",300,3,2,
982800,"Uchumayo, Arequipa",90,4,3,
2300000,"Leon Xxiii, Cayma",158,4,2,2
555000,"Pampa De Camarones, Sachaca",120,3,2,1
956800,"Quinta El Sol, Cerro Colorado",170,4,4,1
1541000,"Yanahuara, Arequipa",200,5,5,2
2090000,"El Palacio, Sachaca",255,4,4,2
1998000,"Cerro Colorado, Arequipa",350,3,3,2
4740000,"Cerro Colorado, Arequipa",975,3,5,2
2261000,"Cayma, Arequipa",243,3,4,2
3720000,"La Planicie De Challapampa, Cerro Colorado",611,4,5,2
2566800,"Cayma, Arequipa",234,4,5,2
1109200,"San Jeronimo, Arequipa",227,3,3,1
530400,"Cayma, Arequipa",250,7,2,3
12382500,"Yanahuara, Arequipa",1300,4,5,7
5106000,"Magisterial, Yanahuara",447,10,8,2
1109200,"San Jeronimo, Arequipa",227,3,3,1
3670000,"Mejia, Mejia",1431,3,3,3
888300,"Jose Luis Bustamante Y Rivero, Arequipa",90,3,3,1
630000,"Juan Pablo Vizcardo Y Guzman, Jose Luis Bustamante Y Rivero",144,1,2,
1147000,"Valencia, Yanahuara",220,4,2,1
444540,"Camana, Camaná",169,4,2,2
1554000,"Adepa, Jose Luis Bustamante Y Rivero",420,8,4,3
3346400,"Cayma, Arequipa",435,6,5,2
3800000,"Cayma, Arequipa",500,4,3,2
1562240,"Cayma, Arequipa",240,3,4,2
1875000,"Arequipa, Arequipa",128,3,2,1
1050800,"Yanahuara, Arequipa",230,3,3,2
2590000,"Cerro Colorado, Arequipa",315,5,5,1
1998000,"Los Sauces De Challapampa, Cerro Colorado",300,3,2,
1190400,"Arequipa, Arequipa",260,3,2,
2016500,"Cayma, Arequipa",193,3,4,2
982800,"Uchumayo, Arequipa",90,4,3,
690840,"Buena Vista, Socabaya",306,2,2,2
1561000,"Cercado De Yanahuara, Yanahuara",208,4,3,1
624960,"Semi Rural Pachacutec, Cerro Colorado",300,6,2,2
1147000,"Señorial, Cayma",160,3,3,3
461000,"Uchumayo, Arequipa",400,3,3,2
6402864,"Cayma, Arequipa",1324,5,7,6
2944000,"Cerro Colorado, Arequipa",324,4,5,1
2627000,"Victor Andres Belaunde, Cerro Colorado",412,5,4,2
1541000,"Yanahuara, Arequipa",200,5,5,2
1293937,"Cayma, Arequipa",220,4,4,2
4465900,"Alto Selva Alegre, Arequipa",1207,6,4,7
